is_galaxy,event,subject_id,x,y,width,height

Áno,fpC-002248-i6-0053.jpg,81994049,120.64838409423828,411.58331298828125,24.57457733154297,42.391143798828125

Áno,fpC-002248-g6-0053.jpg,81994032,121.87711334228516,410.3545837402344,23.345848083496094,46.69171142578125

Áno,fpC-002248-r6-0149.jpg,81994069,282.84063720703125,519.7114868164062,30.718231201171875,55.29278564453125

Áno,fpC-002248-i5-0074.jpg,81994047,516.2991333007812,307.1413269042969,28.26080322265625,28.260772705078125

Áno,fpC-002248-i5-0254.jpg,81994048,500.32568359375,55.026588439941406,30.71820068359375,25.803314208984375

Áno,fpC-002248-r2-0088.jpg,81994054,314.3962707519531,128.15017700195312,41.908660888671875,29.582595825195312

Áno,fpC-002248-r3-0207.jpg,81994057,483.12347412109375,176.8960418701172,46.69171142578125,27.03204345703125

Áno,fpC-002248-i3-0207.jpg,81994040,481.8947448730469,179.35350036621094,50.377899169921875,23.345855712890625

Áno,fpC-002248-z3-0162.jpg,81994089,443.8465576171875,358.5517883300781,63.062896728515625,51.93414306640625

Áno,fpC-002248-z6-0053.jpg,81994000,120.64838409423828,414.040771484375,23.345848083496094,36.86187744140625

Áno,fpC-002248-i6-0122.jpg,81994051,145.66201782226562,42.352630615234375,16.583709716796875,28.35595703125

Áno,fpC-002248-r3-0207.jpg,81994057,482.548095703125,184.82852172851562,49.28863525390625,17.43817138671875

Áno,fpC-002248-z6-0149.jpg,81994003,291.1394958496094,526.5275268554688,20.3868408203125,41.29388427734375

Áno,fpC-002248-r4-0132.jpg,81994059,736.2144165039062,188.85775756835938,38.11163330078125,45.243133544921875

Áno,fpC-002248-i3-0162.jpg,81994038,444.34259033203125,355.1595458984375,62.44879150390625,63.41033935546875

Áno,fpC-002248-u3-0162.jpg,81994072,430.2447509765625,359.7882995605469,80.37429809570312,51.934173583984375

Áno,fpC-002247-i5-0232.jpg,82062279,597.7727661132812,396.4853820800781,46.16259765625,40.24432373046875

Áno,fpC-002989-z3-0064.jpg,82064486,154.51849365234375,412.0329895019531,37.72747802734375,29.021148681640625

Áno,fpC-003704-g6-0102.jpg,82066569,358.96331787109375,438.6153564453125,44.2342529296875,30.71820068359375

Áno,fpC-003704-g6-0102.jpg,82066569,266.8086242675781,179.35350036621094,24.5745849609375,33.175689697265625

